feature,importance
cluster_time,0.5917405534297019
cluster_size_y,0.27742937339949564
cluster_size_tot,0.06439634537676116
cluster_energy,0.034927667865859165
cluster_size_x,0.0249028999058443
incident_angle,0.005941920058769056
cluster_skew_x,0.00042976348528521224
cluster_r,0.00012471708110776058
cluster_rms_x,8.421368836516076e-05
cluster_rms_y,1.6020584166030546e-05
cluster_ecc,6.525124644837171e-06
cluster_skew_y,0.0
cluster_aspect,0.0
